company_id,company,id,source,target,type,confidence,description
terrabite,TerraBite Foods,terrabite-rel-feedback-final,terrabite-stage-6,terrabite-stage-2,Feedback loop,Medium,Learning from Retail should feed back into Aggregation decisions before scaling.
urbanrise,UrbanRise Developments,urbanrise-rel-2,urbanrise-stage-1,urbanrise-stage-2,Dependency,Medium,"Site acquisition creates a dependency affecting Concept design, especially around highest decision leverage."
urbanrise,UrbanRise Developments,urbanrise-rel-3,urbanrise-stage-2,urbanrise-stage-3,Delay,Medium,"Concept design creates a delay affecting Planning, especially around community and regulatory approval."
urbanrise,UrbanRise Developments,urbanrise-rel-4,urbanrise-stage-3,urbanrise-stage-4,Trade-off,Medium,"Planning creates a trade-off affecting Detailed design, especially around embodied and operational carbon."
urbanrise,UrbanRise Developments,urbanrise-rel-5,urbanrise-stage-4,urbanrise-stage-5,Bottleneck,Medium,"Detailed design creates a bottleneck affecting Procurement, especially around specification delivery."
urbanrise,UrbanRise Developments,urbanrise-rel-6,urbanrise-stage-5,urbanrise-stage-6,Feedback loop,Medium,"Procurement creates a feedback loop affecting Construction, especially around waste, transport and safety."
urbanrise,UrbanRise Developments,urbanrise-rel-7,urbanrise-stage-6,urbanrise-stage-7,Risk transfer,Low,"Construction creates a risk transfer affecting Use, especially around energy, water and wellbeing."
urbanrise,UrbanRise Developments,urbanrise-rel-8,urbanrise-stage-7,urbanrise-stage-8,Reinforcing loop,Low,"Use creates a reinforcing loop affecting End of life, especially around reuse and waste."
urbanrise,UrbanRise Developments,urbanrise-rel-feedback-final,urbanrise-stage-7,urbanrise-stage-2,Feedback loop,Medium,Learning from Use should feed back into Concept design decisions before scaling.
cloudspring,CloudSpring Technologies,cloudspring-rel-2,cloudspring-stage-1,cloudspring-stage-2,Dependency,Low,"Product design creates a dependency affecting Cloud procurement, especially around energy and water dependency."
cloudspring,CloudSpring Technologies,cloudspring-rel-3,cloudspring-stage-2,cloudspring-stage-3,Delay,Medium,"Cloud procurement creates a delay affecting Development, especially around hardware and testing impacts."
cloudspring,CloudSpring Technologies,cloudspring-rel-4,cloudspring-stage-3,cloudspring-stage-4,Trade-off,Low,"Development creates a trade-off affecting Deployment, especially around ongoing compute demand."
cloudspring,CloudSpring Technologies,cloudspring-rel-5,cloudspring-stage-4,cloudspring-stage-5,Bottleneck,Low,"Deployment creates a bottleneck affecting Customer use, especially around customer resource use."
cloudspring,CloudSpring Technologies,cloudspring-rel-6,cloudspring-stage-5,cloudspring-stage-6,Feedback loop,Low,"Customer use creates a feedback loop affecting Employee work, especially around travel and home energy."
cloudspring,CloudSpring Technologies,cloudspring-rel-7,cloudspring-stage-6,cloudspring-stage-7,Risk transfer,Low,"Employee work creates a risk transfer affecting End of life, especially around e-waste and storage."
cloudspring,CloudSpring Technologies,cloudspring-rel-feedback-final,cloudspring-stage-6,cloudspring-stage-2,Feedback loop,Medium,Learning from Employee work should feed back into Cloud procurement decisions before scaling.
loophome,LoopHome Circular Services,loophome-rel-2,loophome-stage-1,loophome-stage-2,Dependency,Medium,"Product acquisition creates a dependency affecting Inspection, especially around product rejection."
loophome,LoopHome Circular Services,loophome-rel-3,loophome-stage-2,loophome-stage-3,Delay,Medium,"Inspection creates a delay affecting Repair, especially around labour, energy and parts."
loophome,LoopHome Circular Services,loophome-rel-4,loophome-stage-3,loophome-stage-4,Trade-off,Medium,"Repair creates a trade-off affecting Delivery, especially around transport emissions."
loophome,LoopHome Circular Services,loophome-rel-5,loophome-stage-4,loophome-stage-5,Bottleneck,Low,"Delivery creates a bottleneck affecting Customer use, especially around appliance efficiency and behaviour."
loophome,LoopHome Circular Services,loophome-rel-6,loophome-stage-5,loophome-stage-6,Feedback loop,Low,"Customer use creates a feedback loop affecting Return, especially around transport and replacement impacts."
loophome,LoopHome Circular Services,loophome-rel-7,loophome-stage-6,loophome-stage-7,Risk transfer,Low,"Return creates a risk transfer affecting End of life, especially around recycling and disposal."
loophome,LoopHome Circular Services,loophome-rel-feedback-final,loophome-stage-6,loophome-stage-2,Feedback loop,Medium,Learning from Return should feed back into Inspection decisions before scaling.
citymotion,CityMotion Transit Authority,citymotion-rel-2,citymotion-stage-1,citymotion-stage-2,Dependency,Medium,"Network planning creates a dependency affecting Vehicle procurement, especially around lifecycle impact."
citymotion,CityMotion Transit Authority,citymotion-rel-3,citymotion-stage-2,citymotion-stage-3,Delay,Medium,"Vehicle procurement creates a delay affecting Infrastructure, especially around embodied carbon and readiness."
citymotion,CityMotion Transit Authority,citymotion-rel-4,citymotion-stage-3,citymotion-stage-4,Trade-off,High,"Infrastructure creates a trade-off affecting Operations, especially around direct emissions and reliability."
citymotion,CityMotion Transit Authority,citymotion-rel-5,citymotion-stage-4,citymotion-stage-5,Bottleneck,High,"Operations creates a bottleneck affecting Passenger use, especially around public value and emissions."
citymotion,CityMotion Transit Authority,citymotion-rel-6,citymotion-stage-5,citymotion-stage-6,Feedback loop,High,"Passenger use creates a feedback loop affecting Maintenance, especially around capability constraint."
citymotion,CityMotion Transit Authority,citymotion-rel-7,citymotion-stage-6,citymotion-stage-7,Risk transfer,Medium,"Maintenance creates a risk transfer affecting End of life, especially around battery and vehicle disposal."
citymotion,CityMotion Transit Authority,citymotion-rel-feedback-final,citymotion-stage-6,citymotion-stage-2,Feedback loop,Medium,Learning from Maintenance should feed back into Vehicle procurement decisions before scaling.
medigen,Medigen Laboratories,medigen-rel-2,medigen-stage-1,medigen-stage-2,Dependency,Medium,"Research creates a dependency affecting Clinical development, especially around materials and travel."
medigen,Medigen Laboratories,medigen-rel-3,medigen-stage-2,medigen-stage-3,Delay,High,"Clinical development creates a delay affecting Manufacturing, especially around water, solvents and waste."
medigen,Medigen Laboratories,medigen-rel-4,medigen-stage-3,medigen-stage-4,Trade-off,High,"Manufacturing creates a trade-off affecting Packaging, especially around safety and sterility trade-offs."
medigen,Medigen Laboratories,medigen-rel-5,medigen-stage-4,medigen-stage-5,Bottleneck,Medium,"Packaging creates a bottleneck affecting Distribution, especially around cold-chain energy."
medigen,Medigen Laboratories,medigen-rel-6,medigen-stage-5,medigen-stage-6,Feedback loop,Medium,"Distribution creates a feedback loop affecting Patient use, especially around access and disposal."
medigen,Medigen Laboratories,medigen-rel-7,medigen-stage-6,medigen-stage-7,Risk transfer,Low,"Patient use creates a risk transfer affecting End of life, especially around ecosystem exposure."
medigen,Medigen Laboratories,medigen-rel-feedback-final,medigen-stage-6,medigen-stage-2,Feedback loop,Medium,Learning from Patient use should feed back into Clinical development decisions before scaling.
