company_id,company,stage_id,sequence,stage_name,description,activities,stakeholders,business_effects,human_effects,planetary_effects,decision_points,control,evidence_quality,unknowns
evergreen,Evergreen Bank,evergreen-stage-6,6,Renewal,Opportunity to improve terms,"[""Terms adjustment""]","[""Customers""]","[""Opportunity to improve terms""]","[""Stakeholder effect: Customers""]","[""Opportunity to improve terms""]","[""Decision at Renewal""]",medium,medium,"[""Evidence gap at Renewal""]"
evergreen,Evergreen Bank,evergreen-stage-7,7,Reporting,Investor and regulatory scrutiny,"[""Regulatory disclosure""]","[""Regulators"", ""investors""]","[""Investor and regulatory scrutiny""]","[""Stakeholder effect: Regulators, investors""]","[""Investor and regulatory scrutiny""]","[""Decision at Reporting""]",high,high,[]
civiccare,CivicCare Health Trust,civiccare-stage-1,1,Procurement,Upstream product impacts,"[""Medicines, devices and consumables""]","[""Procurement"", ""clinicians""]","[""Upstream product impacts""]","[""Stakeholder effect: Procurement, clinicians""]","[""Upstream product impacts""]","[""Decision at Procurement""]",medium,medium,"[""Evidence gap at Procurement""]"
civiccare,CivicCare Health Trust,civiccare-stage-2,2,Patient travel,Transport emissions and equity,"[""Access to care""]","[""Patients"", ""communities""]","[""Transport emissions and equity""]","[""Stakeholder effect: Patients, communities""]","[""Transport emissions and equity""]","[""Decision at Patient travel""]",medium,medium,"[""Evidence gap at Patient travel""]"
civiccare,CivicCare Health Trust,civiccare-stage-3,3,Clinical treatment,High climate impact and safety constraints,"[""Anaesthetic gases and single-use items""]","[""Clinicians"", ""patients""]","[""High climate impact and safety constraints""]","[""Stakeholder effect: Clinicians, patients""]","[""High climate impact and safety constraints""]","[""Decision at Clinical treatment""]",high,medium,"[""Evidence gap at Clinical treatment""]"
civiccare,CivicCare Health Trust,civiccare-stage-4,4,Facilities,Energy and water impacts,"[""Heat, electricity and water""]","[""Estates"", ""patients""]","[""Energy and water impacts""]","[""Stakeholder effect: Estates, patients""]","[""Energy and water impacts""]","[""Decision at Facilities""]",high,high,[]
civiccare,CivicCare Health Trust,civiccare-stage-5,5,Waste,Hazardous waste,"[""Clinical disposal""]","[""Waste contractors"", ""staff""]","[""Hazardous waste""]","[""Stakeholder effect: Waste contractors, staff""]","[""Hazardous waste""]","[""Decision at Waste""]",medium,medium,"[""Evidence gap at Waste""]"
civiccare,CivicCare Health Trust,civiccare-stage-6,6,Community services,Travel and access trade-offs,"[""Decentralised care""]","[""Patients"", ""staff""]","[""Travel and access trade-offs""]","[""Stakeholder effect: Patients, staff""]","[""Travel and access trade-offs""]","[""Decision at Community services""]",medium,medium,"[""Evidence gap at Community services""]"
civiccare,CivicCare Health Trust,civiccare-stage-7,7,Supplier management,Upstream evidence quality,"[""Evidence requests""]","[""Suppliers""]","[""Upstream evidence quality""]","[""Stakeholder effect: Suppliers""]","[""Upstream evidence quality""]","[""Decision at Supplier management""]",low,low,"[""Evidence gap at Supplier management""]"
terrabite,TerraBite Foods,terrabite-stage-1,1,Farming,"Soil, water, fertiliser and biodiversity","[""Ingredient production""]","[""Farmers"", ""communities""]","[""Soil, water, fertiliser and biodiversity""]","[""Stakeholder effect: Farmers, communities""]","[""Soil, water, fertiliser and biodiversity""]","[""Decision at Farming""]",low,medium,"[""Evidence gap at Farming""]"
terrabite,TerraBite Foods,terrabite-stage-2,2,Aggregation,Loss of traceability,"[""Ingredient aggregation""]","[""Aggregators"", ""suppliers""]","[""Loss of traceability""]","[""Stakeholder effect: Aggregators, suppliers""]","[""Loss of traceability""]","[""Decision at Aggregation""]",medium,low,"[""Evidence gap at Aggregation""]"
terrabite,TerraBite Foods,terrabite-stage-3,3,Processing,"Energy, water and food loss","[""Food manufacturing""]","[""Factory workers""]","[""Energy, water and food loss""]","[""Stakeholder effect: Factory workers""]","[""Energy, water and food loss""]","[""Decision at Processing""]",high,medium,"[""Evidence gap at Processing""]"
terrabite,TerraBite Foods,terrabite-stage-4,4,Packaging,Plastic and board impacts,"[""Pack selection""]","[""Packaging suppliers""]","[""Plastic and board impacts""]","[""Stakeholder effect: Packaging suppliers""]","[""Plastic and board impacts""]","[""Decision at Packaging""]",medium,high,[]
terrabite,TerraBite Foods,terrabite-stage-5,5,Distribution,Refrigeration and transport,"[""Cold chain""]","[""Logistics""]","[""Refrigeration and transport""]","[""Stakeholder effect: Logistics""]","[""Refrigeration and transport""]","[""Decision at Distribution""]",medium,medium,"[""Evidence gap at Distribution""]"
terrabite,TerraBite Foods,terrabite-stage-6,6,Retail,Waste and buyer influence,"[""Specifications""]","[""Retailers""]","[""Waste and buyer influence""]","[""Stakeholder effect: Retailers""]","[""Waste and buyer influence""]","[""Decision at Retail""]",low,medium,"[""Evidence gap at Retail""]"
terrabite,TerraBite Foods,terrabite-stage-7,7,Consumption,Nutrition and food waste,"[""Use and disposal""]","[""Consumers""]","[""Nutrition and food waste""]","[""Stakeholder effect: Consumers""]","[""Nutrition and food waste""]","[""Decision at Consumption""]",low,low,"[""Evidence gap at Consumption""]"
urbanrise,UrbanRise Developments,urbanrise-stage-1,1,Site acquisition,Land and ecosystem impact,"[""Land selection""]","[""Land owners"", ""communities""]","[""Land and ecosystem impact""]","[""Stakeholder effect: Land owners, communities""]","[""Land and ecosystem impact""]","[""Decision at Site acquisition""]",medium,medium,"[""Evidence gap at Site acquisition""]"
urbanrise,UrbanRise Developments,urbanrise-stage-2,2,Concept design,Highest decision leverage,"[""Early design choices""]","[""Designers"", ""investors""]","[""Highest decision leverage""]","[""Stakeholder effect: Designers, investors""]","[""Highest decision leverage""]","[""Decision at Concept design""]",high,medium,"[""Evidence gap at Concept design""]"
urbanrise,UrbanRise Developments,urbanrise-stage-3,3,Planning,Community and regulatory approval,"[""Approval process""]","[""Authorities"", ""communities""]","[""Community and regulatory approval""]","[""Stakeholder effect: Authorities, communities""]","[""Community and regulatory approval""]","[""Decision at Planning""]",medium,medium,"[""Evidence gap at Planning""]"
urbanrise,UrbanRise Developments,urbanrise-stage-4,4,Detailed design,Embodied and operational carbon,"[""Materials and performance""]","[""Architects"", ""engineers""]","[""Embodied and operational carbon""]","[""Stakeholder effect: Architects, engineers""]","[""Embodied and operational carbon""]","[""Decision at Detailed design""]",high,medium,"[""Evidence gap at Detailed design""]"
urbanrise,UrbanRise Developments,urbanrise-stage-5,5,Procurement,Specification delivery,"[""Contractor selection""]","[""Contractors""]","[""Specification delivery""]","[""Stakeholder effect: Contractors""]","[""Specification delivery""]","[""Decision at Procurement""]",medium,medium,"[""Evidence gap at Procurement""]"
urbanrise,UrbanRise Developments,urbanrise-stage-6,6,Construction,"Waste, transport and safety","[""Site works""]","[""Workers"", ""neighbours""]","[""Waste, transport and safety""]","[""Stakeholder effect: Workers, neighbours""]","[""Waste, transport and safety""]","[""Decision at Construction""]",medium,medium,"[""Evidence gap at Construction""]"
urbanrise,UrbanRise Developments,urbanrise-stage-7,7,Use,"Energy, water and wellbeing","[""Building occupation""]","[""Occupants""]","[""Energy, water and wellbeing""]","[""Stakeholder effect: Occupants""]","[""Energy, water and wellbeing""]","[""Decision at Use""]",low,low,"[""Evidence gap at Use""]"
urbanrise,UrbanRise Developments,urbanrise-stage-8,8,End of life,Reuse and waste,"[""Adaptability and demolition""]","[""Future owners""]","[""Reuse and waste""]","[""Stakeholder effect: Future owners""]","[""Reuse and waste""]","[""Decision at End of life""]",low,low,"[""Evidence gap at End of life""]"
cloudspring,CloudSpring Technologies,cloudspring-stage-1,1,Product design,Computational demand,"[""Feature and architecture choices""]","[""Engineers"", ""product""]","[""Computational demand""]","[""Stakeholder effect: Engineers, product""]","[""Computational demand""]","[""Decision at Product design""]",high,low,"[""Evidence gap at Product design""]"
cloudspring,CloudSpring Technologies,cloudspring-stage-2,2,Cloud procurement,Energy and water dependency,"[""Provider selection""]","[""Cloud suppliers""]","[""Energy and water dependency""]","[""Stakeholder effect: Cloud suppliers""]","[""Energy and water dependency""]","[""Decision at Cloud procurement""]",medium,low,"[""Evidence gap at Cloud procurement""]"
cloudspring,CloudSpring Technologies,cloudspring-stage-3,3,Development,Hardware and testing impacts,"[""Testing and hardware""]","[""Developers""]","[""Hardware and testing impacts""]","[""Stakeholder effect: Developers""]","[""Hardware and testing impacts""]","[""Decision at Development""]",high,medium,"[""Evidence gap at Development""]"
cloudspring,CloudSpring Technologies,cloudspring-stage-4,4,Deployment,Ongoing compute demand,"[""Data storage and processing""]","[""DevOps"", ""customers""]","[""Ongoing compute demand""]","[""Stakeholder effect: DevOps, customers""]","[""Ongoing compute demand""]","[""Decision at Deployment""]",high,low,"[""Evidence gap at Deployment""]"
cloudspring,CloudSpring Technologies,cloudspring-stage-5,5,Customer use,Customer resource use,"[""Product use""]","[""Customers""]","[""Customer resource use""]","[""Stakeholder effect: Customers""]","[""Customer resource use""]","[""Decision at Customer use""]",medium,low,"[""Evidence gap at Customer use""]"
cloudspring,CloudSpring Technologies,cloudspring-stage-6,6,Employee work,Travel and home energy,"[""Remote work""]","[""Employees""]","[""Travel and home energy""]","[""Stakeholder effect: Employees""]","[""Travel and home energy""]","[""Decision at Employee work""]",low,low,"[""Evidence gap at Employee work""]"
cloudspring,CloudSpring Technologies,cloudspring-stage-7,7,End of life,E-waste and storage,"[""Devices and data retention""]","[""IT"", ""suppliers""]","[""E-waste and storage""]","[""Stakeholder effect: IT, suppliers""]","[""E-waste and storage""]","[""Decision at End of life""]",medium,low,"[""Evidence gap at End of life""]"
loophome,LoopHome Circular Services,loophome-stage-1,1,Product acquisition,Quality uncertainty,"[""Sourcing used appliances""]","[""Customers"", ""suppliers""]","[""Quality uncertainty""]","[""Stakeholder effect: Customers, suppliers""]","[""Quality uncertainty""]","[""Decision at Product acquisition""]",medium,low,"[""Evidence gap at Product acquisition""]"
loophome,LoopHome Circular Services,loophome-stage-2,2,Inspection,Product rejection,"[""Screening products""]","[""Technicians""]","[""Product rejection""]","[""Stakeholder effect: Technicians""]","[""Product rejection""]","[""Decision at Inspection""]",high,medium,"[""Evidence gap at Inspection""]"
loophome,LoopHome Circular Services,loophome-stage-3,3,Repair,"Labour, energy and parts","[""Repair workflow""]","[""Technicians""]","[""Labour, energy and parts""]","[""Stakeholder effect: Technicians""]","[""Labour, energy and parts""]","[""Decision at Repair""]",high,medium,"[""Evidence gap at Repair""]"
loophome,LoopHome Circular Services,loophome-stage-4,4,Delivery,Transport emissions,"[""Reverse logistics""]","[""Drivers"", ""customers""]","[""Transport emissions""]","[""Stakeholder effect: Drivers, customers""]","[""Transport emissions""]","[""Decision at Delivery""]",medium,medium,"[""Evidence gap at Delivery""]"
loophome,LoopHome Circular Services,loophome-stage-5,5,Customer use,Appliance efficiency and behaviour,"[""Subscription use""]","[""Customers""]","[""Appliance efficiency and behaviour""]","[""Stakeholder effect: Customers""]","[""Appliance efficiency and behaviour""]","[""Decision at Customer use""]",low,low,"[""Evidence gap at Customer use""]"
loophome,LoopHome Circular Services,loophome-stage-6,6,Return,Transport and replacement impacts,"[""Churn and replacement""]","[""Customers"", ""drivers""]","[""Transport and replacement impacts""]","[""Stakeholder effect: Customers, drivers""]","[""Transport and replacement impacts""]","[""Decision at Return""]",medium,low,"[""Evidence gap at Return""]"
loophome,LoopHome Circular Services,loophome-stage-7,7,End of life,Recycling and disposal,"[""Parts recovery""]","[""Recyclers""]","[""Recycling and disposal""]","[""Stakeholder effect: Recyclers""]","[""Recycling and disposal""]","[""Decision at End of life""]",medium,low,"[""Evidence gap at End of life""]"
citymotion,CityMotion Transit Authority,citymotion-stage-1,1,Network planning,Accessibility and equity,"[""Route and service planning""]","[""Passengers"", ""communities""]","[""Accessibility and equity""]","[""Stakeholder effect: Passengers, communities""]","[""Accessibility and equity""]","[""Decision at Network planning""]",high,high,[]
citymotion,CityMotion Transit Authority,citymotion-stage-2,2,Vehicle procurement,Lifecycle impact,"[""Fleet choices""]","[""Procurement"", ""suppliers""]","[""Lifecycle impact""]","[""Stakeholder effect: Procurement, suppliers""]","[""Lifecycle impact""]","[""Decision at Vehicle procurement""]",medium,medium,"[""Evidence gap at Vehicle procurement""]"
citymotion,CityMotion Transit Authority,citymotion-stage-3,3,Infrastructure,Embodied carbon and readiness,"[""Depots and charging""]","[""Infrastructure teams""]","[""Embodied carbon and readiness""]","[""Stakeholder effect: Infrastructure teams""]","[""Embodied carbon and readiness""]","[""Decision at Infrastructure""]",medium,medium,"[""Evidence gap at Infrastructure""]"
citymotion,CityMotion Transit Authority,citymotion-stage-4,4,Operations,Direct emissions and reliability,"[""Fuel and service delivery""]","[""Drivers"", ""passengers""]","[""Direct emissions and reliability""]","[""Stakeholder effect: Drivers, passengers""]","[""Direct emissions and reliability""]","[""Decision at Operations""]",high,high,[]
citymotion,CityMotion Transit Authority,citymotion-stage-5,5,Passenger use,Public value and emissions,"[""Mode shift""]","[""Passengers""]","[""Public value and emissions""]","[""Stakeholder effect: Passengers""]","[""Public value and emissions""]","[""Decision at Passenger use""]",medium,high,[]
citymotion,CityMotion Transit Authority,citymotion-stage-6,6,Maintenance,Capability constraint,"[""Skills and parts""]","[""Technicians"", ""unions""]","[""Capability constraint""]","[""Stakeholder effect: Technicians, unions""]","[""Capability constraint""]","[""Decision at Maintenance""]",high,high,[]
citymotion,CityMotion Transit Authority,citymotion-stage-7,7,End of life,Battery and vehicle disposal,"[""Vehicles and batteries""]","[""Suppliers"", ""recyclers""]","[""Battery and vehicle disposal""]","[""Stakeholder effect: Suppliers, recyclers""]","[""Battery and vehicle disposal""]","[""Decision at End of life""]",medium,medium,"[""Evidence gap at End of life""]"
medigen,Medigen Laboratories,medigen-stage-1,1,Research,"Energy, chemicals and ethics","[""Lab experimentation""]","[""Scientists"", ""patients""]","[""Energy, chemicals and ethics""]","[""Stakeholder effect: Scientists, patients""]","[""Energy, chemicals and ethics""]","[""Decision at Research""]",high,high,[]
medigen,Medigen Laboratories,medigen-stage-2,2,Clinical development,Materials and travel,"[""Trials and materials""]","[""Clinicians"", ""patients""]","[""Materials and travel""]","[""Stakeholder effect: Clinicians, patients""]","[""Materials and travel""]","[""Decision at Clinical development""]",medium,medium,"[""Evidence gap at Clinical development""]"
medigen,Medigen Laboratories,medigen-stage-3,3,Manufacturing,"Water, solvents and waste","[""Production""]","[""Manufacturing teams""]","[""Water, solvents and waste""]","[""Stakeholder effect: Manufacturing teams""]","[""Water, solvents and waste""]","[""Decision at Manufacturing""]",high,high,[]
medigen,Medigen Laboratories,medigen-stage-4,4,Packaging,Safety and sterility trade-offs,"[""Sterile packaging""]","[""Quality"", ""regulators""]","[""Safety and sterility trade-offs""]","[""Stakeholder effect: Quality, regulators""]","[""Safety and sterility trade-offs""]","[""Decision at Packaging""]",medium,high,[]
medigen,Medigen Laboratories,medigen-stage-5,5,Distribution,Cold-chain energy,"[""Cold chain""]","[""Logistics"", ""patients""]","[""Cold-chain energy""]","[""Stakeholder effect: Logistics, patients""]","[""Cold-chain energy""]","[""Decision at Distribution""]",medium,medium,"[""Evidence gap at Distribution""]"
medigen,Medigen Laboratories,medigen-stage-6,6,Patient use,Access and disposal,"[""Medicine use""]","[""Patients"", ""clinicians""]","[""Access and disposal""]","[""Stakeholder effect: Patients, clinicians""]","[""Access and disposal""]","[""Decision at Patient use""]",low,medium,"[""Evidence gap at Patient use""]"
medigen,Medigen Laboratories,medigen-stage-7,7,End of life,Ecosystem exposure,"[""Medicine and device disposal""]","[""Patients"", ""waste handlers""]","[""Ecosystem exposure""]","[""Stakeholder effect: Patients, waste handlers""]","[""Ecosystem exposure""]","[""Decision at End of life""]",low,low,"[""Evidence gap at End of life""]"
